6.0, 6.0, 4.0
9.0, 12.0, 13.0
10.0, 12.0, 15.0
15.0, 15.0, 15.0
15.0, 15.0, 15.0
14.0, 14.0, 14.0
14.0, 14.0, 14.0
11.0, 11.0, 11.0
15.0, 10.0, 7.0
14.0, 16.0, 8.0
22.0, 19.0, 2.0
20.0, 19.0, 15.0
17.0, 18.0, 12.0
17.0, 18.0, 12.0
17.0, 18.0, 12.0
17.0, 18.0, 12.0
31.0, 27.0, 8.0
30.0, 22.0, 10.0
30.0, 22.0, 10.0
31.0, 17.0, 15.0
29.0, 16.0, 14.0
31.0, 18.0, 9.0
28.0, 14.0, 7.0
27.0, 8.0, 6.0
29.0, 6.0, 7.0
21.0, 6.0, 5.0
21.0, 13.0, 8.0
30.0, 8.0, 9.0
26.0, 14.0, 8.0
31.0, 13.0, 15.0
26.0, 18.0, 17.0
27.0, 16.0, 16.0
31.0, 17.0, 16.0
29.0, 19.0, 18.0
29.0, 19.0, 18.0
29.0, 19.0, 18.0
29.0, 19.0, 18.0
30.0, 21.0, 18.0
30.0, 21.0, 18.0
30.0, 21.0, 19.0
29.0, 21.0, 18.0
24.0, 20.0, 19.0
24.0, 20.0, 19.0
31.0, 23.0, 22.0
31.0, 24.0, 23.0
30.0, 25.0, 22.0
30.0, 25.0, 22.0
27.0, 25.0, 23.0
27.0, 26.0, 21.0
27.0, 24.0, 19.0
27.0, 26.0, 18.0
29.0, 28.0, 27.0
29.0, 28.0, 27.0
31.0, 31.0, 30.0
29.0, 28.0, 31.0
28.0, 29.0, 31.0
29.0, 29.0, 28.0
28.0, 25.0, 29.0
31.0, 26.0, 26.0
28.0, 24.0, 26.0
27.0, 25.0, 24.0
24.0, 26.0, 24.0
25.0, 25.0, 25.0
24.0, 24.0, 24.0
24.0, 24.0, 24.0
24.0, 30.0, 31.0
24.0, 30.0, 30.0
25.0, 31.0, 31.0
22.0, 26.0, 26.0
23.0, 23.0, 23.0
22.0, 20.0, 20.0
22.0, 20.0, 20.0
21.0, 21.0, 21.0
21.0, 21.0, 21.0
20.0, 20.0, 18.0
22.0, 21.0, 17.0
19.0, 21.0, 18.0
19.0, 18.0, 18.0
19.0, 18.0, 19.0
16.0, 17.0, 16.0
16.0, 17.0, 16.0
16.0, 17.0, 16.0
16.0, 17.0, 16.0
15.0, 16.0, 18.0
15.0, 16.0, 18.0
15.0, 16.0, 18.0
15.0, 16.0, 18.0
12.0, 19.0, 18.0
27.0, 29.0, 48.0
17.0, 17.0, 52.0
29.0, 30.0, 44.0
27.0, 30.0, 35.0
20.0, 26.0, 35.0
20.0, 26.0, 35.0
