Rage Against The Machine, Renegades, https://i.scdn.co/image/3c9c017c3df6735e2f76b2e7dd6c6e7c709a179f
Rage Against The Machine, Live at the Grand Olympic Auditorium, https://i.scdn.co/image/4840f4993cf0cfc15b4c3134420c35258e4a7fef 
Rage Against The Machine, The Battle Of Los Angeles, https://i.scdn.co/image/d36b38316f7c9f8c6e3b66305811fe5ae1517b1a 
Rage Against The Machine, Evil Empire, https://i.scdn.co/image/d78afcdcd80e39d229bf3360b86111dd9b8c441c 
Rage Against The Machine, Irvine Meadows (17 June '95) [Remastered] [Live], https://i.scdn.co/image/35a375d546fa085f94f0f3a3e20bc960c6acee98 
Rage Against The Machine, Rage Against The Machine, https://i.scdn.co/image/5f60f693d1eab3e00166ade80b32dc1143347e2c 
Rage Against The Machine, Rage Against The Machine - XX (20th Anniversary Special Edition), https://i.scdn.co/image/85236cc12312fac9405206c25bd38479e63a04d6 
Beastie Boys, Hot Sauce Committee Part Two, https://i.scdn.co/image/f6556bf1a59be7e2cd2d233dd950bdda422ed32c 
Beastie Boys, Hot Sauce Committee Part Two, https://i.scdn.co/image/3d8ca485492d209563ff5eef5ecce819e21e38d2 
Beastie Boys, Hot Sauce Committee Part Two, https://i.scdn.co/image/ffc5590e73c3d84c14e72e9052c8649e63819e1f 
Beastie Boys, The Mix-Up, https://i.scdn.co/image/7495d11a70a3c6f9f7376cd1abfe4757a295393d 
Beastie Boys, The Mix-Up, https://i.scdn.co/image/7495d11a70a3c6f9f7376cd1abfe4757a295393d 
Beastie Boys, Solid Gold Hits, https://i.scdn.co/image/20059a85e9b5ae3ad09b1b90883e1eb88fe12ead 
Beastie Boys, To The 5 Boroughs, https://i.scdn.co/image/fa81e53dbcfe164e819fde583055a75905c47e60 
Beastie Boys, To The 5 Boroughs, https://i.scdn.co/image/a1e70a79896d27aa72ec32da0725552217eb5add 
Beastie Boys, Hello Nasty, https://i.scdn.co/image/ec20c216e5bddfd03e42018cbd483028a2282e69 
Beastie Boys, Hello Nasty (Remastered Edition), https://i.scdn.co/image/d31defa9c32456715bc590019f8b6b34825bf6be 
Beastie Boys, Hello Nasty (Deluxe Version) [Remastered], https://i.scdn.co/image/7965b55791d1f43da3631820f7c37277b193fad8 
Beastie Boys, Ill Communication, https://i.scdn.co/image/3aa99652227396a85729d59745db54809eec4437 
Beastie Boys, Ill Communication, https://i.scdn.co/image/06b455056e7c77555c0eb834b1b91217da0a4024 
Beastie Boys, Ill Communication (Remastered Version), https://i.scdn.co/image/df7554a5174d51049f258da2a8a5d755eb66947d 
Beastie Boys, Ill Communication (Deluxe Version) [Remastered], https://i.scdn.co/image/bddb4a2709c0ae48b31dc8c1027f841f712eced8 
Beastie Boys, Check Your Head, https://i.scdn.co/image/ea82121277876cb356e1dd6eb7e3c82001c158c6 
Beastie Boys, Check Your Head (Remastered Edition), https://i.scdn.co/image/c80bbbd2d935c6f2ed14269b2cb68578618cc162 
Beastie Boys, Check Your Head (Deluxe Version) [Remastered], https://i.scdn.co/image/a07911998049b03456e4b3f02caacd00d69bcb67 
Beastie Boys, Paul's Boutique, https://i.scdn.co/image/b96d18e22efac7b97b10ffa10c71141162c24cde 
Beastie Boys, Paul's Boutique (20th Anniversary Remastered Edition), https://i.scdn.co/image/c46b58e76408e1794add6dde540bd5ec8200ed37 
Beastie Boys, Licensed To Ill, https://i.scdn.co/image/cc50d666b08d7a46b229fe8cbe345eea29e99d3f 
