GEO.display-label,HC01_VC56
Geography,Estimate; RACE - One race - Asian
"Madison County, Indiana",554
"Marion County, Indiana",27885
"Monroe County, Indiana",9461
"Morgan County, Indiana",N
"Porter County, Indiana",2055
"St. Joseph County, Indiana",6408
"Tippecanoe County, Indiana",15385
"Vanderburgh County, Indiana",1990
"Vigo County, Indiana",2044
"Wayne County, Indiana",718
"Black Hawk County, Iowa",3374
"Dallas County, Iowa",3579
"Dubuque County, Iowa",1198
"Johnson County, Iowa",10102
"Linn County, Iowa",5323
"Polk County, Iowa",22224
"Pottawattamie County, Iowa",821
"Scott County, Iowa",4441
"Story County, Iowa",8417
"Woodbury County, Iowa",3154
"Butler County, Kansas",269
"Douglas County, Kansas",6249
"Johnson County, Kansas",27644
"Leavenworth County, Kansas",1697
"Riley County, Kansas",3820
"Sedgwick County, Kansas",21236
"Shawnee County, Kansas",2374
"Wyandotte County, Kansas",6063
"Boone County, Kentucky",3410
"Bullitt County, Kentucky",N
"Campbell County, Kentucky",587
"Christian County, Kentucky",420
"Daviess County, Kentucky",1614
"Fayette County, Kentucky",11699
"Hardin County, Kentucky",1851
"Jefferson County, Kentucky",21038
"Kenton County, Kentucky",1922
"McCracken County, Kentucky",N
"Madison County, Kentucky",1039
"Oldham County, Kentucky",834
"Warren County, Kentucky",4718
"Ascension Parish, Louisiana",N
"Bossier Parish, Louisiana",1906
"Caddo Parish, Louisiana",3212
"Calcasieu Parish, Louisiana",2284
"East Baton Rouge Parish, Louisiana",14660
"Iberia Parish, Louisiana",1862
"Jefferson Parish, Louisiana",18643
"Lafayette Parish, Louisiana",4038
"Lafourche Parish, Louisiana",504
"Livingston Parish, Louisiana",N
"Orleans Parish, Louisiana",11721
"Ouachita Parish, Louisiana",1613
"Rapides Parish, Louisiana",2230
"St. Landry Parish, Louisiana",N
"St. Tammany Parish, Louisiana",3793
"Tangipahoa Parish, Louisiana",730
"Terrebonne Parish, Louisiana",571
"Androscoggin County, Maine",1165
"Aroostook County, Maine",292
"Cumberland County, Maine",6084
"Kennebec County, Maine",1313
"Penobscot County, Maine",1404
"York County, Maine",4274
"Allegany County, Maryland",619
"Anne Arundel County, Maryland",20626
"Baltimore County, Maryland",49490
"Calvert County, Maryland",1709
"Carroll County, Maryland",3078
"Cecil County, Maryland",1512
"Charles County, Maryland",4466
"Frederick County, Maryland",11679
"Harford County, Maryland",5848
"Howard County, Maryland",57006
"Montgomery County, Maryland",154518
"Prince George's County, Maryland",38290
"St. Mary's County, Maryland",N
"Washington County, Maryland",2009
"Wicomico County, Maryland",3530
"Baltimore city, Maryland",15149
"Barnstable County, Massachusetts",2951
"Berkshire County, Massachusetts",2049
"Bristol County, Massachusetts",13414
"Essex County, Massachusetts",26984
"Franklin County, Massachusetts",710
"Hampden County, Massachusetts",10440
"Hampshire County, Massachusetts",7242
"Middlesex County, Massachusetts",187448
"Norfolk County, Massachusetts",74523
"Plymouth County, Massachusetts",6215
"Suffolk County, Massachusetts",68847
"Worcester County, Massachusetts",39751
"Allegan County, Michigan",417
"Bay County, Michigan",309
"Berrien County, Michigan",2977
"Calhoun County, Michigan",2622
"Clinton County, Michigan",1540
"Eaton County, Michigan",2049
"Genesee County, Michigan",4111
"Grand Traverse County, Michigan",488
"Ingham County, Michigan",19021
"Isabella County, Michigan",1392
"Jackson County, Michigan",1260
"Kalamazoo County, Michigan",6828
"Kent County, Michigan",18849
"Lapeer County, Michigan",509
"Lenawee County, Michigan",256
"Livingston County, Michigan",1730
"Macomb County, Michigan",32772
"Marquette County, Michigan",649
"Midland County, Michigan",1738
"Monroe County, Michigan",952
"Muskegon County, Michigan",1128
"Oakland County, Michigan",87646
"Ottawa County, Michigan",6244
"Saginaw County, Michigan",2503
"St. Clair County, Michigan",1223
"Shiawassee County, Michigan",205
"Van Buren County, Michigan",425
"Washtenaw County, Michigan",31232
"Wayne County, Michigan",54230
"Anoka County, Minnesota",15529
"Blue Earth County, Minnesota",1325
"Carver County, Minnesota",3231
"Dakota County, Minnesota",20140
"Hennepin County, Minnesota",85906
"Olmsted County, Minnesota",8964
"Ramsey County, Minnesota",76470
"Rice County, Minnesota",1404
"St. Louis County, Minnesota",2228
"Scott County, Minnesota",8060
"Sherburne County, Minnesota",791
"Stearns County, Minnesota",3701
"Washington County, Minnesota",12637
"Wright County, Minnesota",1973
"DeSoto County, Mississippi",2663
"Forrest County, Mississippi",N
"Harrison County, Mississippi",5702
"Hinds County, Mississippi",1885
"Jackson County, Mississippi",3863
"Jones County, Mississippi",N
"Lauderdale County, Mississippi",N
"Lee County, Mississippi",811
"Madison County, Mississippi",2725
"Rankin County, Mississippi",1518
"Boone County, Missouri",9021
"Buchanan County, Missouri",1054
"Cape Girardeau County, Missouri",1365
"Cass County, Missouri",802
"Christian County, Missouri",N
"Clay County, Missouri",6193
"Cole County, Missouri",1107
"Franklin County, Missouri",625
"Greene County, Missouri",5704
"Jackson County, Missouri",12585
"Jasper County, Missouri",1634
"Jefferson County, Missouri",1882
"Platte County, Missouri",2838
"St. Charles County, Missouri",9844
"St. Francois County, Missouri",N
"St. Louis County, Missouri",39819
"St. Louis city, Missouri",10264
"Cascade County, Montana",738
"Flathead County, Montana",340
"Gallatin County, Montana",1460
"Lewis and Clark County, Montana",572
"Missoula County, Montana",1855
"Yellowstone County, Montana",959
"Douglas County, Nebraska",19640
"Lancaster County, Nebraska",12252
"Sarpy County, Nebraska",4776
"Clark County, Nevada",211925
"Washoe County, Nevada",25562
"Cheshire County, New Hampshire",1122
"Grafton County, New Hampshire",3505
"Hillsborough County, New Hampshire",14874
"Merrimack County, New Hampshire",2563
"Rockingham County, New Hampshire",5846
"Strafford County, New Hampshire",4107
"Atlantic County, New Jersey",22599
"Bergen County, New Jersey",153276
"Burlington County, New Jersey",23697
"Camden County, New Jersey",29696
"Cape May County, New Jersey",806
"Cumberland County, New Jersey",2258
"Essex County, New Jersey",42298
"Gloucester County, New Jersey",8955
"Hudson County, New Jersey",102554
"Hunterdon County, New Jersey",4757
"Mercer County, New Jersey",40864
"Middlesex County, New Jersey",203045
"Monmouth County, New Jersey",35774
"Morris County, New Jersey",53056
"Ocean County, New Jersey",11908
"Passaic County, New Jersey",26481
"Salem County, New Jersey",774
"Somerset County, New Jersey",57437
"Sussex County, New Jersey",3229
"Union County, New Jersey",27892
"Warren County, New Jersey",2825
"Bernalillo County, New Mexico",18595
"Chaves County, New Mexico",67
"Do–a Ana County, New Mexico",2341
"Lea County, New Mexico",0
"McKinley County, New Mexico",766
"Otero County, New Mexico",969
"Sandoval County, New Mexico",2100
"San Juan County, New Mexico",690
"Santa Fe County, New Mexico",1976
"Valencia County, New Mexico",340
"Albany County, New York",21011
"Bronx County, New York",51958
"Broome County, New York",7006
"Cattaraugus County, New York",509
"Cayuga County, New York",400
"Chautauqua County, New York",760
"Chemung County, New York",1588
"Clinton County, New York",990
"Dutchess County, New York",10743
"Erie County, New York",34132
"Jefferson County, New York",1998
"Kings County, New York",315850
"Livingston County, New York",699
"Madison County, New York",726
"Monroe County, New York",26420
"Nassau County, New York",127934
"New York County, New York",204434
"Niagara County, New York",2082
"Oneida County, New York",9824
"Onondaga County, New York",17413
"Ontario County, New York",1345
"Orange County, New York",10686
"Oswego County, New York",730
"Putnam County, New York",2214
"Queens County, New York",592922
"Rensselaer County, New York",4019
"Richmond County, New York",40747
"Rockland County, New York",19686
"St. Lawrence County, New York",1489
"Saratoga County, New York",6797
"Schenectady County, New York",6739
"Steuben County, New York",1298
"Suffolk County, New York",58726
"Sullivan County, New York",1227
"Tompkins County, New York",10625
"Ulster County, New York",3969
"Warren County, New York",603
"Wayne County, New York",775
"Westchester County, New York",57962
"Alamance County, North Carolina",2245
"Brunswick County, North Carolina",708
"Buncombe County, North Carolina",3542
"Burke County, North Carolina",3447
"Cabarrus County, North Carolina",6212
"Caldwell County, North Carolina",302
"Carteret County, North Carolina",546
"Catawba County, North Carolina",6466
"Chatham County, North Carolina",868
"Cleveland County, North Carolina",1134
"Craven County, North Carolina",3215
"Cumberland County, North Carolina",7649
"Davidson County, North Carolina",2630
"Durham County, North Carolina",15714
"Forsyth County, North Carolina",8532
"Gaston County, North Carolina",3627
"Guilford County, North Carolina",26138
"Harnett County, North Carolina",916
"Henderson County, North Carolina",1607
"Iredell County, North Carolina",4410
"Johnston County, North Carolina",536
"Lincoln County, North Carolina",638
"Mecklenburg County, North Carolina",59544
"Moore County, North Carolina",1649
"Nash County, North Carolina",845
"New Hanover County, North Carolina",2161
"Onslow County, North Carolina",3350
"Orange County, North Carolina",11270
"Pitt County, North Carolina",2983
"Randolph County, North Carolina",1463
"Robeson County, North Carolina",958
"Rockingham County, North Carolina",618
"Rowan County, North Carolina",1104
"Rutherford County, North Carolina",744
"Surry County, North Carolina",406
"Union County, North Carolina",5792
"Wake County, North Carolina",69541
"Wayne County, North Carolina",1539
"Wilkes County, North Carolina",1232
"Wilson County, North Carolina",208
"Burleigh County, North Dakota",714
"Cass County, North Dakota",4496
"Grand Forks County, North Dakota",1802
"Ward County, North Dakota",865
"Allen County, Ohio",917
"Ashtabula County, Ohio",492
"Athens County, Ohio",1250
"Belmont County, Ohio",N
"Butler County, Ohio",10086
"Clark County, Ohio",393
"Clermont County, Ohio",2833
"Columbiana County, Ohio",0
"Cuyahoga County, Ohio",35357
"Delaware County, Ohio",11311
"Erie County, Ohio",620
"Fairfield County, Ohio",1560
"Franklin County, Ohio",62789
"Geauga County, Ohio",N
"Greene County, Ohio",4902
"Hamilton County, Ohio",21398
"Hancock County, Ohio",1412
"Jefferson County, Ohio",N
"Lake County, Ohio",3153
"Licking County, Ohio",2087
"Lorain County, Ohio",2735
"Lucas County, Ohio",6710
"Mahoning County, Ohio",2048
"Marion County, Ohio",N
"Medina County, Ohio",1651
"Miami County, Ohio",1294
"Montgomery County, Ohio",11335
"Muskingum County, Ohio",N
"Portage County, Ohio",2837
"Richland County, Ohio",821
"Ross County, Ohio",N
"Scioto County, Ohio",N
"Stark County, Ohio",3682
"Summit County, Ohio",17116
"Trumbull County, Ohio",860
"Tuscarawas County, Ohio",N
"Warren County, Ohio",12734
"Wayne County, Ohio",1265
"Wood County, Ohio",1938
